SAID,GSE,GSM,species,Cells,Condition,Age,Sex,Tissue location,Fine cell types,Gross cell types,Title,Summary,Overall Design,PubMed
SAID132,GSE130973,GSM3758115,Human,3414,Healthy,25,male,whole skin,ACKR1+ Post-Capillary Venule Endothelial Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|COL17A1+ KRT14+ Basal Keratinocyte|Hair Follicle Keratinocyte|IL7R+ Naive CD4 T Cell|KRT1 KRT10+ Spinous Keratinocyte|KRTDAP+ DMKN+ Spinous Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Matrix Remodeling Fibroblasts|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|Schwann Cell|Smooth Muscle Cell|Stress Keratinocyte|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Schwann cell|Smooth Muscle Cell|Unknown|Vascular Endothelial Cell,Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming,"Fibroblasts are the main dermal cell type and are essential for the architecture and function of human skin. Important differences have been described between fibroblasts localized in distinct dermal layers, and these cells are also known to perform varied functions. However, this phenomenon has not been analyzed comprehensively yet. Here we have used single-cell RNA sequencing to analyze >15,000 cells from a sun-protected area in young and old donors. Our results define four main fibroblast subpopulations that can be spatially localized and functionally distinguished. Importantly, intrinsic aging reduces this fibroblast ‘priming’, generates distinct expression patterns of skin aging-associated genes, and substantially reduces the interactions of dermal fibroblasts with other skin cell types. Our work thus provides comprehensive evidence for a functional specialization of human dermal fibroblasts and suggests that the age-related loss of fibroblast priming contributes to human skin aging.","Overall 5 samples were analyzed. Two of them are from young subjects (y1=25y, y2=27y) and serve as replicates, three of them are from old subjects (o1=53y, o2=70y, o3=69y) and serve as replicates.  Please note that the 'seurat_analysis_lyko.RData' file was replaced with the seurat_analysis_lyko.rds on Aug 6th, 2020.",32327715
SAID133,GSE130973,GSM3758116,Human,1294,Healthy,27,male,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|COL17A1+ KRT14+ Basal Keratinocyte|Eccrine Sweat Gland Cell|FCN1+ Monocyte|Hair Follicle Outer Root Sheath Keratinocyte|IL7R+ Naive CD4 T Cell|KRT1 KRT10+ Spinous Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|SPP1+ Inflammatory Macrophage|Schwann Cell|Smooth Muscle Cell|Suprabasal Keratinocyte|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Eccrine Sweat Gland Cell|Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Schwann cell|Smooth Muscle Cell|Vascular Endothelial Cell,Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming,"Fibroblasts are the main dermal cell type and are essential for the architecture and function of human skin. Important differences have been described between fibroblasts localized in distinct dermal layers, and these cells are also known to perform varied functions. However, this phenomenon has not been analyzed comprehensively yet. Here we have used single-cell RNA sequencing to analyze >15,000 cells from a sun-protected area in young and old donors. Our results define four main fibroblast subpopulations that can be spatially localized and functionally distinguished. Importantly, intrinsic aging reduces this fibroblast ‘priming’, generates distinct expression patterns of skin aging-associated genes, and substantially reduces the interactions of dermal fibroblasts with other skin cell types. Our work thus provides comprehensive evidence for a functional specialization of human dermal fibroblasts and suggests that the age-related loss of fibroblast priming contributes to human skin aging.","Overall 5 samples were analyzed. Two of them are from young subjects (y1=25y, y2=27y) and serve as replicates, three of them are from old subjects (o1=53y, o2=70y, o3=69y) and serve as replicates.  Please note that the 'seurat_analysis_lyko.RData' file was replaced with the seurat_analysis_lyko.rds on Aug 6th, 2020.",32327715
SAID134,GSE130973,GSM3758117,Human,2334,Healthy,53,male,whole skin,ACKR1+ Post-Capillary Venule Endothelial Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|COL17A1+ KRT14+ Basal Keratinocyte|Cycling T Cell|Hair Follicle Keratinocyte|IL7R+ Naive CD4 T Cell|KRT1 KRT10+ Spinous Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Matrix Remodeling Fibroblasts|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|SPP1+ Inflammatory Macrophages|Schwann Cell|Smooth Muscle Cell|Suprabasal Keratinocyte|Unknown|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Schwann cell|Smooth Muscle Cell|Unknown|Vascular Endothelial Cell,Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming,"Fibroblasts are the main dermal cell type and are essential for the architecture and function of human skin. Important differences have been described between fibroblasts localized in distinct dermal layers, and these cells are also known to perform varied functions. However, this phenomenon has not been analyzed comprehensively yet. Here we have used single-cell RNA sequencing to analyze >15,000 cells from a sun-protected area in young and old donors. Our results define four main fibroblast subpopulations that can be spatially localized and functionally distinguished. Importantly, intrinsic aging reduces this fibroblast ‘priming’, generates distinct expression patterns of skin aging-associated genes, and substantially reduces the interactions of dermal fibroblasts with other skin cell types. Our work thus provides comprehensive evidence for a functional specialization of human dermal fibroblasts and suggests that the age-related loss of fibroblast priming contributes to human skin aging.","Overall 5 samples were analyzed. Two of them are from young subjects (y1=25y, y2=27y) and serve as replicates, three of them are from old subjects (o1=53y, o2=70y, o3=69y) and serve as replicates.  Please note that the 'seurat_analysis_lyko.RData' file was replaced with the seurat_analysis_lyko.rds on Aug 6th, 2020.",32327715
SAID135,GSE130973,GSM3758119,Human,2942,Healthy,69,male,whole skin,ACKR1+ Post-Capillary Venule Endothelial Cell|B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|COL17A1+ KRT14+ Basal Keratinocyte|Cycling T Cell|FCN1+ Monocyte|IL7R+ Naive CD4 T Cell|KRT1 KRT10+ Spinous Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Matrix Remodeling Fibroblasts|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|SPP1+ Inflammatory Macrophage|Smooth Muscle Cell|Suprabasal Keratinocyte|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Smooth Muscle Cell|Vascular Endothelial Cell,Single-cell transcriptomes of the aging human skin reveal loss of fibroblast priming,"Fibroblasts are the main dermal cell type and are essential for the architecture and function of human skin. Important differences have been described between fibroblasts localized in distinct dermal layers, and these cells are also known to perform varied functions. However, this phenomenon has not been analyzed comprehensively yet. Here we have used single-cell RNA sequencing to analyze >15,000 cells from a sun-protected area in young and old donors. Our results define four main fibroblast subpopulations that can be spatially localized and functionally distinguished. Importantly, intrinsic aging reduces this fibroblast ‘priming’, generates distinct expression patterns of skin aging-associated genes, and substantially reduces the interactions of dermal fibroblasts with other skin cell types. Our work thus provides comprehensive evidence for a functional specialization of human dermal fibroblasts and suggests that the age-related loss of fibroblast priming contributes to human skin aging.","Overall 5 samples were analyzed. Two of them are from young subjects (y1=25y, y2=27y) and serve as replicates, three of them are from old subjects (o1=53y, o2=70y, o3=69y) and serve as replicates.  Please note that the 'seurat_analysis_lyko.RData' file was replaced with the seurat_analysis_lyko.rds on Aug 6th, 2020.",32327715
SAID136,GSE242477,GSM7764406,Human,10689,Acral Melanoma,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|Cycling T Cell|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Melanocyte|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|cDC2 Dendritic Cell,Immune|Melanocyte,Single-cell profiling of acral melanoma infiltrating lymphocytes reveals a suppressive tumor microenvironment,"Acral lentiginous melanoma (ALM) is the most common melanoma subtype in non-Caucasians. Despite advances in cancer immunotherapy, current immune checkpoint inhibitors remain unsatisfactory for ALM. Hence, we conducted comprehensive immune profiling using single-cell phenotyping with reactivity screening of the T cell receptors of tumor-infiltrating T lymphocytes (TILs) in ALM. Compared with cutaneous melanoma, ALM showed a lower frequency of tumor-reactive CD8 clusters and an enrichment of regulatory T cells with direct tumor recognition ability, suggesting a suppressive immune microenvironment in ALM. Tumor-reactive CD8 TILs showed heterogeneous expression of coinhibitory molecules, including KLRC1 (NKG2A), in subpopulations with therapeutic implications. Overall, our study provides a foundation for enhancing the efficacy of immunotherapy in ALM.","Single-cell immune profiling of tumor-infiltrating lymphocytes from primary and metastatic human acral lentiginous melanoma was conducted. Individual cells were dissociated from fresh tumor resections, and tumor-infiltrating lymphocytes were isolated by FACS based on CD3CD45 staining. Single-cell 5' RNA-seq and paired full-length TCR-seq were performed using the 10X Genomics Chromium platform, and the samples were sequenced on the Illumina NextSeq HiSeq X Ten. RNA-seq data were obtained for the parental fresh tumor samples and the tumor cell line from two patients.",39630887; 40631515
SAID137,GSE242477,GSM7764408,Human,7015,Acral Melanoma,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|Cycling T Cell|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Regulatory T Cell|Resident T Cell|S100A2+ Proliferating Keratinocyte|SPP1+ Inflammatory Macrophage,Immune|Keratinocyte|Melanocyte|Vascular Endothelial Cell,Single-cell profiling of acral melanoma infiltrating lymphocytes reveals a suppressive tumor microenvironment,"Acral lentiginous melanoma (ALM) is the most common melanoma subtype in non-Caucasians. Despite advances in cancer immunotherapy, current immune checkpoint inhibitors remain unsatisfactory for ALM. Hence, we conducted comprehensive immune profiling using single-cell phenotyping with reactivity screening of the T cell receptors of tumor-infiltrating T lymphocytes (TILs) in ALM. Compared with cutaneous melanoma, ALM showed a lower frequency of tumor-reactive CD8 clusters and an enrichment of regulatory T cells with direct tumor recognition ability, suggesting a suppressive immune microenvironment in ALM. Tumor-reactive CD8 TILs showed heterogeneous expression of coinhibitory molecules, including KLRC1 (NKG2A), in subpopulations with therapeutic implications. Overall, our study provides a foundation for enhancing the efficacy of immunotherapy in ALM.","Single-cell immune profiling of tumor-infiltrating lymphocytes from primary and metastatic human acral lentiginous melanoma was conducted. Individual cells were dissociated from fresh tumor resections, and tumor-infiltrating lymphocytes were isolated by FACS based on CD3CD45 staining. Single-cell 5' RNA-seq and paired full-length TCR-seq were performed using the 10X Genomics Chromium platform, and the samples were sequenced on the Illumina NextSeq HiSeq X Ten. RNA-seq data were obtained for the parental fresh tumor samples and the tumor cell line from two patients.",39630887; 40631515
SAID138,GSE242477,GSM7764410,Human,3460,Acral Melanoma,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|Cycling T Cell|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Melanocyte|PECAM1+ Blood vascular Endothelial Cell|Plasma Cell|Regulatory T Cell|Resident T Cell|S100A2+ Proliferating Keratinocyte|SPP1+ Inflammatory Macrophage|Smooth Muscle Cell|Suprabasal Keratinocyte|cDC2 Dendritic Cell,Immune|Keratinocyte|Melanocyte|Smooth Muscle Cell|Vascular Endothelial Cell,Single-cell profiling of acral melanoma infiltrating lymphocytes reveals a suppressive tumor microenvironment,"Acral lentiginous melanoma (ALM) is the most common melanoma subtype in non-Caucasians. Despite advances in cancer immunotherapy, current immune checkpoint inhibitors remain unsatisfactory for ALM. Hence, we conducted comprehensive immune profiling using single-cell phenotyping with reactivity screening of the T cell receptors of tumor-infiltrating T lymphocytes (TILs) in ALM. Compared with cutaneous melanoma, ALM showed a lower frequency of tumor-reactive CD8 clusters and an enrichment of regulatory T cells with direct tumor recognition ability, suggesting a suppressive immune microenvironment in ALM. Tumor-reactive CD8 TILs showed heterogeneous expression of coinhibitory molecules, including KLRC1 (NKG2A), in subpopulations with therapeutic implications. Overall, our study provides a foundation for enhancing the efficacy of immunotherapy in ALM.","Single-cell immune profiling of tumor-infiltrating lymphocytes from primary and metastatic human acral lentiginous melanoma was conducted. Individual cells were dissociated from fresh tumor resections, and tumor-infiltrating lymphocytes were isolated by FACS based on CD3CD45 staining. Single-cell 5' RNA-seq and paired full-length TCR-seq were performed using the 10X Genomics Chromium platform, and the samples were sequenced on the Illumina NextSeq HiSeq X Ten. RNA-seq data were obtained for the parental fresh tumor samples and the tumor cell line from two patients.",39630887; 40631515
SAID139,GSE242477,GSM7764411,Human,1216,Acral Melanoma,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|Cycling T Cell|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Regulatory T Cell|Resident T Cell|SPP1+ Inflammatory Macrophage|Suprabasal Keratinocyte|cDC2 Dendritic Cell,Immune|Keratinocyte,Single-cell profiling of acral melanoma infiltrating lymphocytes reveals a suppressive tumor microenvironment,"Acral lentiginous melanoma (ALM) is the most common melanoma subtype in non-Caucasians. Despite advances in cancer immunotherapy, current immune checkpoint inhibitors remain unsatisfactory for ALM. Hence, we conducted comprehensive immune profiling using single-cell phenotyping with reactivity screening of the T cell receptors of tumor-infiltrating T lymphocytes (TILs) in ALM. Compared with cutaneous melanoma, ALM showed a lower frequency of tumor-reactive CD8 clusters and an enrichment of regulatory T cells with direct tumor recognition ability, suggesting a suppressive immune microenvironment in ALM. Tumor-reactive CD8 TILs showed heterogeneous expression of coinhibitory molecules, including KLRC1 (NKG2A), in subpopulations with therapeutic implications. Overall, our study provides a foundation for enhancing the efficacy of immunotherapy in ALM.","Single-cell immune profiling of tumor-infiltrating lymphocytes from primary and metastatic human acral lentiginous melanoma was conducted. Individual cells were dissociated from fresh tumor resections, and tumor-infiltrating lymphocytes were isolated by FACS based on CD3CD45 staining. Single-cell 5' RNA-seq and paired full-length TCR-seq were performed using the 10X Genomics Chromium platform, and the samples were sequenced on the Illumina NextSeq HiSeq X Ten. RNA-seq data were obtained for the parental fresh tumor samples and the tumor cell line from two patients.",39630887; 40631515
SAID140,GSE242477,GSM7764412,Human,7104,Acral Melanoma,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|Cycling T Cell|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Regulatory T Cell|Resident T Cell|S100A2+ Proliferating Keratinocyte|Suprabasal Keratinocyte|cDC2 Dendritic Cell,Immune|Keratinocyte,Single-cell profiling of acral melanoma infiltrating lymphocytes reveals a suppressive tumor microenvironment,"Acral lentiginous melanoma (ALM) is the most common melanoma subtype in non-Caucasians. Despite advances in cancer immunotherapy, current immune checkpoint inhibitors remain unsatisfactory for ALM. Hence, we conducted comprehensive immune profiling using single-cell phenotyping with reactivity screening of the T cell receptors of tumor-infiltrating T lymphocytes (TILs) in ALM. Compared with cutaneous melanoma, ALM showed a lower frequency of tumor-reactive CD8 clusters and an enrichment of regulatory T cells with direct tumor recognition ability, suggesting a suppressive immune microenvironment in ALM. Tumor-reactive CD8 TILs showed heterogeneous expression of coinhibitory molecules, including KLRC1 (NKG2A), in subpopulations with therapeutic implications. Overall, our study provides a foundation for enhancing the efficacy of immunotherapy in ALM.","Single-cell immune profiling of tumor-infiltrating lymphocytes from primary and metastatic human acral lentiginous melanoma was conducted. Individual cells were dissociated from fresh tumor resections, and tumor-infiltrating lymphocytes were isolated by FACS based on CD3CD45 staining. Single-cell 5' RNA-seq and paired full-length TCR-seq were performed using the 10X Genomics Chromium platform, and the samples were sequenced on the Illumina NextSeq HiSeq X Ten. RNA-seq data were obtained for the parental fresh tumor samples and the tumor cell line from two patients.",39630887; 40631515
SAID141,GSE249622,GSM7951925,Human,633,HS lesion,Not mentioned,Not mentioned,whole skin,CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|Cycling T Cell|IL7R+ Naive CD4 T Cell|Regulatory T Cell|Resident T Cell,Immune,scRNASeq Data of CD4 Tregs and Teffectors in HS lesional skin and healthy skin,"Hidradenitis suppurativa (HS) is an inflammatory skin disease with limited therapeutic options. CD4 T Cells have been described as more inflammatory than T cells in healthy skin. To better understand alterations within the T cell compartment, we profiled CD4 Teffector cells and regulatory T cells (Treg) from inflammatory HS skin lesions and healthy control skin via scRNASequencing.",scRNASeq of Treg and CD4 Teffector cells sort-purified from enzymatically digested skin of biopsied hidradenitis suppurativa inflammatory lesions or of healthy control skin,38113104; 40690378
SAID142,GSE249622,GSM7951926,Human,4061,HS lesion,Not mentioned,Not mentioned,whole skin,B Cell|CD69+ IL7R+ Tissue-resident memory T Cell|CD8+ Cytotoxic T/NK Cells|CFD+ Secretory fibroblasts|Cycling T Cell|IL7R+ Naive CD4 T Cell|KIR3DL2+ NK/T Cell|Regulatory T Cell|Resident T Cell|Unknown|cDC2 Dendritic Cell,Fibroblast|Immune|Unknown,scRNASeq Data of CD4 Tregs and Teffectors in HS lesional skin and healthy skin,"Hidradenitis suppurativa (HS) is an inflammatory skin disease with limited therapeutic options. CD4 T Cells have been described as more inflammatory than T cells in healthy skin. To better understand alterations within the T cell compartment, we profiled CD4 Teffector cells and regulatory T cells (Treg) from inflammatory HS skin lesions and healthy control skin via scRNASequencing.",scRNASeq of Treg and CD4 Teffector cells sort-purified from enzymatically digested skin of biopsied hidradenitis suppurativa inflammatory lesions or of healthy control skin,38113104; 40690378
